,id,ai,bio12,bio16,bio17,bio4,cmi_max,fgd,hurs_mean,hurs_min,pet_penman_max,pet_penman_mean,pr,rsdsmax_,rsdsmean_,vpd_min
1,genotype_1,0.0359798744320869,45.4,22.7,5.9,220.5,-50.0,136,58.02,53.24,170.54,114.65,0.0160000007599592,32.654,23.335,677.4
2,genotype_2,0.0743188410997391,76.5,33.6,12.3,192.7,-33.2,16,61.0,56.3,158.8,102.98,0.0416800007224083,32.488,23.179,651.6
3,genotype_3,0.069980725646019,70.1,30.7,11.4,186.2,-28.8,16,61.0,56.09,156.81,99.4,0.0399600006639957,32.549,23.118,655.0
4,genotype_4,0.0636643767356873,65.2,28.9,10.5,188.4,-27.1,75,61.85,57.06,155.33,97.44,0.0351199992001057,32.526,23.138,638.0
5,genotype_5,0.0661218017339706,67.8,30.0,11.0,189.9,-29.9,75,61.24,56.39,157.58,99.9,0.0399600006639957,32.579,23.009,648.9
6,genotype_6,0.0636643767356873,65.2,28.9,10.5,188.4,-27.1,75,61.85,57.06,155.33,97.44,0.0351199992001057,32.526,23.138,638.0
7,genotype_7,0.0636643767356873,65.2,28.9,10.5,188.4,-27.1,75,61.85,57.06,155.33,97.44,0.0351199992001057,32.526,23.138,638.0
8,genotype_8,0.0678395256400108,67.9,29.8,11.1,187.5,-33.4,75,61.28,56.43,157.72,101.78,0.0351199992001057,32.499,23.122,649.0
9,genotype_10,0.0555406622588634,54.2,24.4,8.8,179.7,-45.5,75,61.98,57.07,153.39,105.41,0.0286400001496077,32.033,24.205,624.0
10,genotype_11,0.0555406622588634,54.2,24.4,8.8,179.7,-45.5,75,61.98,57.07,153.39,105.41,0.0286400001496077,32.033,24.205,624.0
11,genotype_12,0.0555406622588634,54.2,24.4,8.8,179.7,-45.5,75,61.98,57.07,153.39,105.41,0.0286400001496077,32.033,24.205,624.0
12,genotype_13,0.0546931214630604,54.7,25.0,8.6,181.3,-53.0,75,59.74,54.54,158.19,111.53,0.0286400001496077,32.12,24.21,672.0
13,genotype_14,0.0521328933537006,52.3,24.1,8.1,179.8,-43.1,75,60.56,55.34,156.28,105.05,0.0286400001496077,32.293,23.766,654.6
14,genotype_15,0.0920869335532188,68.9,28.3,11.6,182.7,-52.2,16,68.87,66.63,152.95,106.91,0.0341599993407726,31.63,23.707,481.4
15,genotype_16,0.0920869335532188,68.9,28.3,11.6,182.7,-52.2,16,68.87,66.63,152.95,106.91,0.0341599993407726,31.63,23.707,481.4
16,genotype_18,0.0920869335532188,68.9,28.3,11.6,182.7,-52.2,16,68.87,66.63,152.95,106.91,0.0341599993407726,31.63,23.707,481.4
17,genotype_19,0.0920869335532188,68.9,28.3,11.6,182.7,-52.2,16,68.87,66.63,152.95,106.91,0.0341599993407726,31.63,23.707,481.4
18,genotype_20,0.0170456357300282,19.9,12.1,1.9,204.5,-55.2,167,57.75,53.48,163.29,112.79,0.0086400005966424,31.818,23.877,726.7
19,genotype_21,0.0170456357300282,19.9,12.1,1.9,204.5,-55.2,167,57.75,53.48,163.29,112.79,0.0086400005966424,31.818,23.877,726.7
20,genotype_22,0.0173910390585661,20.3,12.3,1.9,203.5,-55.0,167,57.94,53.57,162.9,112.62,0.0086400005966424,31.818,23.935,724.2
21,genotype_23,0.0173910390585661,20.3,12.3,1.9,203.5,-55.0,167,57.94,53.57,162.9,112.62,0.0086400005966424,31.818,23.935,724.2
22,genotype_24,0.0173910390585661,20.3,12.3,1.9,203.5,-55.0,167,57.94,53.57,162.9,112.62,0.0086400005966424,31.818,23.935,724.2
23,genotype_25,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
24,genotype_26,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
25,genotype_27,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
26,genotype_28,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
27,genotype_29,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
28,genotype_30,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
29,genotype_31,0.0648499801754951,88.2,47.3,6.3,342.0,-36.2,16,44.31,38.61,175.58,112.21,0.060079999268055,33.711,23.708,736.6
30,genotype_32,0.421895861625671,418.5,224.7,49.8,503.7,35.1,16,49.94,47.99,155.11,106.79,0.310440003871918,32.913,24.58,323.9
